"Title","Description","Labels","Priority","Estimate","Milestone"
"TLX-001 — Initialiser le mono-repo (Expo + NestJS + Prisma, pnpm workspaces)","Mise en place technique ; documenter l'usage dans le README du dépôt.

**Réf :** TX-OPS-004
**Jalon :** Fondations

**DoD :** code + tests, critères d'acceptation cochés, PR liée et revue, aucun secret en dur.","infra,frontend,backend","Urgent","5","Fondations"
"TLX-002 — Config qualité : ESLint, Prettier, TypeScript strict, Husky pre-commit","Mise en place technique ; documenter l'usage dans le README du dépôt.

**Réf :** —
**Jalon :** Fondations
**Dépend de :** TLX-001

**DoD :** code + tests, critères d'acceptation cochés, PR liée et revue, aucun secret en dur.","infra","High","2","Fondations"
"TLX-003 — Pipeline CI (lint, typecheck, tests, build)","Mise en place technique ; documenter l'usage dans le README du dépôt.

**Réf :** TX-OPS-004 §6
**Jalon :** Fondations
**Dépend de :** TLX-001

**DoD :** code + tests, critères d'acceptation cochés, PR liée et revue, aucun secret en dur.","infra,test","High","3","Fondations"
"TLX-004 — Environnements dev/staging/prod + gestion des secrets","Mise en place technique ; documenter l'usage dans le README du dépôt.

**Réf :** TX-OPS-004 §5
**Jalon :** Fondations
**Dépend de :** TLX-001

**DoD :** code + tests, critères d'acceptation cochés, PR liée et revue, aucun secret en dur.","infra","High","3","Fondations"
"TLX-005 — Design system en code : tokens RN + CSS + thème typé","Mise en place technique ; documenter l'usage dans le README du dépôt.

**Réf :** Design system
**Jalon :** Fondations
**Dépend de :** TLX-001

**DoD :** code + tests, critères d'acceptation cochés, PR liée et revue, aucun secret en dur.","design-system,frontend","Urgent","5","Fondations"
"TLX-006 — Bibliothèque de composants de base (bouton, champ, carte, chip, slider, tab bar)","Mise en place technique ; documenter l'usage dans le README du dépôt.

**Réf :** Design system
**Jalon :** Fondations
**Dépend de :** TLX-005

**DoD :** code + tests, critères d'acceptation cochés, PR liée et revue, aucun secret en dur.","design-system,frontend","High","8","Fondations"
"TLX-007 — Navigation expo-router + tab bars coach/athlète","Construire l'écran/le composant conforme à la carte détaillée en réutilisant le design system ; câbler la navigation et gérer les états (vide/chargement/erreur).

**Réf :** Carte écrans
**Jalon :** Fondations
**Dépend de :** TLX-006

**DoD :** code + tests, critères d'acceptation cochés, PR liée et revue, aucun secret en dur.","frontend","High","5","Fondations"
"TLX-008 — Générer le client API typé depuis l'OpenAPI (orval)","Implémenter conformément à la référence ; couvrir les cas limites.

**Réf :** talent-x-openapi.yaml
**Jalon :** Fondations
**Dépend de :** TLX-001

**DoD :** code + tests, critères d'acceptation cochés, PR liée et revue, aucun secret en dur.","frontend,api","High","3","Fondations"
"TLX-009 — Couche données : TanStack Query + intercepteur auth/refresh","Implémenter conformément à la référence ; couvrir les cas limites.

**Réf :** TX-ARCH-001 §8
**Jalon :** Fondations
**Dépend de :** TLX-008

**DoD :** code + tests, critères d'acceptation cochés, PR liée et revue, aucun secret en dur.","frontend","High","5","Fondations"
"TLX-010 — Gestion globale erreurs / toasts / bandeau hors-ligne","Implémenter conformément à la référence ; couvrir les cas limites.

**Réf :** —
**Jalon :** Fondations
**Dépend de :** TLX-006

**DoD :** code + tests, critères d'acceptation cochés, PR liée et revue, aucun secret en dur.","frontend","Medium","3","Fondations"
"TLX-011 — Squelette NestJS + DTO/contrôleurs depuis l'OpenAPI","Implémenter l'endpoint conforme au contrat OpenAPI : DTO, validations, RBAC/ownership, codes d'erreur normalisés.

**Réf :** talent-x-openapi.yaml
**Jalon :** Fondations
**Dépend de :** TLX-001

**DoD :** code + tests, critères d'acceptation cochés, PR liée et revue, aucun secret en dur.","backend,api","Urgent","5","Fondations"
"TLX-012 — Schéma Prisma depuis le modèle de données + migration initiale","Implémenter conformément à la référence ; couvrir les cas limites.

**Réf :** TX-DATA-006
**Jalon :** Fondations
**Dépend de :** TLX-001

**DoD :** code + tests, critères d'acceptation cochés, PR liée et revue, aucun secret en dur.","backend","Urgent","5","Fondations"
"TLX-013 — Journalisation structurée + request-id + endpoint /health","Implémenter l'endpoint conforme au contrat OpenAPI : DTO, validations, RBAC/ownership, codes d'erreur normalisés.

**Réf :** TX-OPS-004
**Jalon :** Fondations
**Dépend de :** TLX-011

**DoD :** code + tests, critères d'acceptation cochés, PR liée et revue, aucun secret en dur.","backend,infra","Medium","2","Fondations"
"TLX-014 — Seed de la base de dev depuis talent-x-sample-data.json","Implémenter conformément à la référence ; couvrir les cas limites.

**Réf :** Sample data
**Jalon :** Fondations
**Dépend de :** TLX-012

**DoD :** code + tests, critères d'acceptation cochés, PR liée et revue, aucun secret en dur.","backend","Medium","2","Fondations"
"TLX-015 — Harnais de tests : Jest (unit) + Maestro (e2e mobile) + e2e API","Mise en place technique ; documenter l'usage dans le README du dépôt.

**Réf :** TX-OPS-004 §6
**Jalon :** Fondations
**Dépend de :** TLX-003

**DoD :** code + tests, critères d'acceptation cochés, PR liée et revue, aucun secret en dur.","infra,test","Medium","5","Fondations"
"TLX-020 — Génération et rotation des clés RS256","Mise en place technique ; documenter l'usage dans le README du dépôt.

**Réf :** TX-ARCH-001 ADR-04
**Jalon :** Auth & RGPD
**Dépend de :** TLX-011

**DoD :** code + tests, critères d'acceptation cochés, PR liée et revue, aucun secret en dur.","backend,infra","Urgent","3","Auth & RGPD"
